"","Compound name","Floxed-ND1","Floxed-ND2","Floxed-ND3","Floxed-ND4","Floxed-HF1","Floxed-HF2","Floxed-HF3","Floxed-HF4","cKO-ND1","cKO-ND2","cKO-ND3","cKO-ND4","cKO-HF1","cKO-HF2","cKO-HF3","cKO-HF4"
"21","1-Myristoyl-glycero-3-phosphocholine",5.321783203125e-05,4.99387751004017e-05,7.09779482071713e-05,4.48589118198873e-05,0.000585918256880734,0.00126423113309353,0.000784396911487757,0.000807348345195728,9.49090890269151e-05,3.20790601503759e-05,6.11033818181819e-05,7.40198534798534e-05,0.00193759857976653,0.000330671592233009,0.00100289044169611,0.000260325494071147
"22","1-Myristoyl-glycero-3-phosphoethanolamine",0.00012971609375,9.52885742971889e-05,0.000146257569721116,0.00021559583489681,5.25979449541284e-05,0.000141011726618705,8.70144256120525e-05,7.84493594306049e-05,0.000184377536231884,0.000205552462406015,0.000493237345454546,0.000340416593406593,0.000332967665369649,6.80080388349513e-05,7.58362897526502e-05,2.22044604925031e-16
"23","1-Oleoyl-glycero-3-phosphocholine",0.004603019453125,0.00581642052208836,0.00917240029880478,0.00755071129455908,0.0275173482752293,0.0400149521223022,0.0345254867043314,0.0335394656227758,0.0103034544306418,0.00143133535714286,0.00388302378181819,0.00283062415750915,0.115402774085603,0.00795550489320387,0.037697710795053,0.0171253659683795
"24","1-Palmitoyl-glycero-3-phosphocholine",0.00057109318359375,0.000610139919678716,0.0011582080876494,0.000615516397748591,0.0062806216146789,0.0149765777697842,0.0103604924670433,0.00766849455516013,0.00108778962732919,0.000216336785714286,0.000527992018181819,0.000648645769230769,0.0362245776459143,0.00199240656310679,0.0119531570671378,0.00388431660079052
"25","1-Palmitoyl-glycero-3-phosphoethanolamine",0.0010231594921875,0.000907690160642572,0.00126835890438247,0.0016808918761726,0.00185075974311927,0.00538836012589929,0.00421340779661016,0.00305441814946619,0.00168051803312629,0.00102077819548872,0.00237002714545455,0.00211005203296703,0.00746910826848248,0.00097026858252427,0.00222972507067138,0.00154813964426878
"26","1-Stearoyl-glycero-3-phosphocholine-1
1-Hexadecyl-2-acetyl-glycero-3-phosphocholine",0.00029929802734375,0.000236312570281125,0.000571301494023904,0.000273788611632269,0.00112828344954128,0.00337670877697842,0.00173663474576271,0.00100682158362989,0.000315368695652174,0.000142763796992481,0.000175054963636364,0.000315481611721611,0.00881454122568092,0.000570016116504853,0.00255112378091873,0.000667201620553361
"27","1-Stearoyl-glycero-3-phosphocholine-2",0.00218725685546875,0.00197464449799197,0.00382274109561753,0.00196810956848029,0.00648426253211009,0.0221736600179857,0.015342385291902,0.00778913919928825,0.00204137658385093,0.000866476917293233,0.00177625758181818,0.00309634798534798,0.0656842662256808,0.00414291728155339,0.0139120218021201,0.00423482946640317
"28","10-Hydroxyoctadecanoic acid",0.00026116435546875,0.000340607811244981,0.000271545597609562,0.000694434108818009,0.000985868110091743,0.00570223181654677,0.00283182828625235,0.00101553647686833,0.000971162898550724,0.0030005104887218,0.00101802218181818,0.00128512989010989,0.0236881431128404,0.0167910443300971,0.00364350012367491,0.00435336009881424
"29","11β-Prostaglandin F2α",2.22044604925031e-16,3.18528313253013e-05,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,3.92859892086332e-05,4.62328625235404e-05,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,6.47171984435796e-05,5.33054563106795e-05,2.22044604925031e-16,2.22044604925031e-16
"30","16-Hydroxyhexadecanoic acid-1",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,3.04686330935252e-05,1.82778342749529e-05,8.02466192170817e-06,2.22044604925031e-16,1.46902443609022e-05,2.22044604925031e-16,2.22044604925031e-16,0.000293623287937743,0.000146589262135922,2.29375088339223e-05,2.56344466403162e-05
